Event,Team1,Team2,Map,Score1,Score2,Winner,Region1,Region2
Champions 2025,Paper Rex,Xi Lai Gaming,Bind,13,9,Paper Rex,Pacific,CN
Champions 2025,Paper Rex,Xi Lai Gaming,Sunset,13,5,Paper Rex,Pacific,CN
Champions 2025,GIANTX,Sentinels,Corrode,6,13,Sentinels,EMEA,Americas
Champions 2025,GIANTX,Sentinels,Sunset,13,4,GIANTX,EMEA,Americas
Champions 2025,GIANTX,Sentinels,Haven,13,9,GIANTX,EMEA,Americas
Champions 2025,NRG,EDward Gaming,Abyss,17,15,NRG,Americas,CN
Champions 2025,NRG,EDward Gaming,Corrode,13,11,NRG,Americas,CN
Champions 2025,Team Liquid,DRX,Abyss,8,13,DRX,EMEA,Pacific
Champions 2025,Team Liquid,DRX,Bind,10,13,DRX,EMEA,Pacific
Champions 2025,Dragon Ranger Gaming,T1,Lotus,13,15,T1,Pacific,Pacific
Champions 2025,Dragon Ranger Gaming,T1,Sunset,14,16,T1,Pacific,Pacific
Champions 2025,G2 Esports,Team Heretics,Corrode,10,13,Team Heretics,Americas,EMEA
Champions 2025,G2 Esports,Team Heretics,Lotus,10,13,Team Heretics,Americas,EMEA
Champions 2025,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),MIBR,Haven,2,13,MIBR,CN,Americas
Champions 2025,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),MIBR,Corrode,9,13,MIBR,CN,Americas
Champions 2025,Rex Regum Qeon,FNATIC,Ascent,10,13,FNATIC,Pacific,EMEA
Champions 2025,Rex Regum Qeon,FNATIC,Abyss,7,13,FNATIC,Pacific,EMEA
Champions 2025,Paper Rex,GIANTX,Ascent,11,13,GIANTX,Pacific,EMEA
Champions 2025,Paper Rex,GIANTX,Lotus,13,10,Paper Rex,Pacific,EMEA
Champions 2025,Paper Rex,GIANTX,Sunset,13,6,Paper Rex,Pacific,EMEA
Champions 2025,DRX,NRG,Haven,13,4,DRX,Pacific,Americas
Champions 2025,DRX,NRG,Corrode,11,13,NRG,Pacific,Americas
Champions 2025,DRX,NRG,Lotus,11,13,NRG,Pacific,Americas
Champions 2025,Team Heretics,T1,Lotus,13,10,Team Heretics,EMEA,Pacific
Champions 2025,Team Heretics,T1,Sunset,13,11,Team Heretics,EMEA,Pacific
Champions 2025,MIBR,FNATIC,Bind,13,5,MIBR,Americas,EMEA
Champions 2025,MIBR,FNATIC,Abyss,7,13,FNATIC,Americas,EMEA
Champions 2025,MIBR,FNATIC,Haven,10,13,FNATIC,Americas,EMEA
Champions 2025,Team Liquid,EDward Gaming,Sunset,3,13,EDward Gaming,EMEA,CN
Champions 2025,Team Liquid,EDward Gaming,Abyss,13,6,Team Liquid,EMEA,CN
Champions 2025,Team Liquid,EDward Gaming,Bind,15,13,Team Liquid,EMEA,CN
Champions 2025,Xi Lai Gaming,Sentinels,Abyss,10,13,Sentinels,CN,Americas
Champions 2025,Xi Lai Gaming,Sentinels,Lotus,13,11,Xi Lai Gaming,CN,Americas
Champions 2025,Xi Lai Gaming,Sentinels,Haven,13,8,Xi Lai Gaming,CN,Americas
