Player,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD,Event
CHICHOOEDG,(+1),313,1.23,235.6,1.27,71%,158.1,0.87,0.28,0.08,0.07,28%,22%,11/51,36,271,213,87,24,22,Masters Bangkok 2025
nAtsTL,,155,1.21,257.6,1.32,72%,155.1,0.91,0.19,0.09,0.12,26%,13%,3/23,25,141,107,29,14,18,Masters Bangkok 2025
trentG2,,360,1.21,220.0,1.21,75%,146.9,0.76,0.32,0.09,0.09,25%,29%,14/48,26,274,226,116,31,31,Masters Bangkok 2025
DerkeVIT,,225,1.18,257.2,1.20,70%,166.8,0.91,0.17,0.20,0.20,22%,31%,5/16,32,204,170,38,46,45,Masters Bangkok 2025
iZuT1,(+1),453,1.13,207.1,1.24,75%,130.6,0.75,0.21,0.11,0.09,30%,31%,19/61,21,341,276,96,48,40,Masters Bangkok 2025
free1ngDRX,,149,1.10,227.3,1.16,77%,146.9,0.79,0.26,0.12,0.11,29%,7%,1/15,24,117,101,38,18,16,Masters Bangkok 2025
keikoTL,(+1),155,1.09,198.9,1.09,77%,137.7,0.75,0.34,0.10,0.08,30%,10%,2/20,31,117,107,52,15,12,Masters Bangkok 2025
trexxVIT,(+1),225,1.09,207.3,1.02,72%,134.3,0.68,0.44,0.05,0.05,19%,9%,3/32,28,153,150,98,12,11,Masters Bangkok 2025
BeYNDRX,,149,1.08,182.4,1.03,78%,117.3,0.64,0.44,0.06,0.07,25%,21%,4/19,17,95,92,65,9,10,Masters Bangkok 2025
BuZzT1,(+1),453,1.08,239.5,1.12,72%,150.4,0.82,0.24,0.17,0.14,17%,20%,6/30,26,370,331,107,78,62,Masters Bangkok 2025
valynG2,,360,1.08,186.8,1.06,76%,122.1,0.68,0.44,0.08,0.08,23%,14%,5/37,26,244,231,158,29,27,Masters Bangkok 2025
leafG2,,360,1.06,207.3,1.09,74%,137.5,0.74,0.25,0.11,0.10,24%,12%,5/41,28,267,244,91,38,36,Masters Bangkok 2025
N4RRATESEN,(+1),103,1.05,202.4,0.97,76%,148.4,0.73,0.39,0.13,0.04,27%,13%,2/15,33,75,77,40,13,4,Masters Bangkok 2025
MeteorT1,(+2),453,1.04,229.0,1.09,71%,152.8,0.81,0.23,0.17,0.11,33%,16%,7/45,30,366,337,103,75,50,Masters Bangkok 2025
LessVIT,(+1),225,1.03,197.1,1.03,68%,128.8,0.72,0.31,0.06,0.12,29%,20%,6/30,23,163,159,69,14,26,Masters Bangkok 2025
jawgemoG2,,360,1.03,218.5,1.06,71%,142.9,0.77,0.29,0.13,0.18,23%,38%,9/24,29,277,262,104,47,64,Masters Bangkok 2025
SylvanT1,,408,1.02,186.1,0.97,77%,114.6,0.64,0.64,0.08,0.04,27%,17%,7/42,25,260,267,262,31,18,Masters Bangkok 2025
ZmjjKKEDG,(+1),313,1.01,236.2,1.04,70%,151.0,0.83,0.19,0.21,0.22,23%,4%,1/27,33,260,249,59,66,70,Masters Bangkok 2025
staxT1,(+2),453,1.01,173.6,1.01,74%,120.3,0.63,0.34,0.04,0.04,31%,17%,10/59,22,284,282,154,20,20,Masters Bangkok 2025
SmoggyEDG,(+1),313,1.01,191.1,0.93,74%,124.6,0.65,0.49,0.10,0.06,30%,20%,9/45,24,203,219,152,30,20,Masters Bangkok 2025
FlashbackDRX,,149,1.00,180.4,1.00,71%,126.4,0.68,0.17,0.09,0.07,26%,8%,2/25,26,101,101,26,13,11,Masters Bangkok 2025
kamoTL,(+1),155,0.99,215.0,1.02,66%,144.5,0.75,0.15,0.18,0.17,27%,13%,2/15,34,117,115,23,28,27,Masters Bangkok 2025
JonahPG2,,360,0.98,187.6,0.93,78%,119.3,0.65,0.46,0.08,0.07,24%,9%,4/44,21,235,254,164,30,26,Masters Bangkok 2025
KicksVIT,,225,0.94,174.3,0.93,73%,115.0,0.63,0.36,0.05,0.11,27%,22%,6/27,20,142,153,82,11,25,Masters Bangkok 2025
nobodyEDG,,313,0.94,180.1,0.90,71%,123.9,0.62,0.23,0.09,0.09,30%,4%,1/24,25,195,216,71,27,27,Masters Bangkok 2025
bangSEN,,103,0.93,186.0,0.91,68%,113.8,0.65,0.32,0.11,0.11,31%,25%,2/8,22,67,74,33,11,11,Masters Bangkok 2025
KaiTE,,74,0.92,200.8,0.87,62%,128.6,0.73,0.12,0.14,0.12,31%,8%,1/13,20,54,62,9,10,9,Masters Bangkok 2025
zekkenSEN,,103,0.92,196.6,0.99,69%,135.1,0.70,0.11,0.16,0.23,29%,14%,1/7,25,72,73,11,16,24,Masters Bangkok 2025
MaKoDRX,,149,0.92,173.3,0.83,74%,118.4,0.57,0.48,0.05,0.11,24%,13%,2/15,25,85,103,72,8,16,Masters Bangkok 2025
HYUNMINDRX,,149,0.90,205.9,0.89,71%,134.0,0.72,0.22,0.17,0.15,32%,,0/7,23,108,121,33,25,23,Masters Bangkok 2025
kamykTL,(+1),155,0.86,180.3,0.85,74%,118.3,0.61,0.25,0.06,0.06,31%,10%,2/21,23,95,112,38,9,9,Masters Bangkok 2025
BiankTE,,74,0.85,166.8,0.72,59%,115.6,0.55,0.24,0.07,0.08,19%,22%,2/9,14,41,57,18,5,6,Masters Bangkok 2025
S1MonEDG,,313,0.83,151.5,0.75,71%,100.7,0.54,0.42,0.03,0.06,30%,17%,6/35,19,169,225,133,9,18,Masters Bangkok 2025
johnqtSEN,,103,0.82,159.8,0.79,75%,105.3,0.59,0.25,0.04,0.06,19%,,0/13,18,61,77,26,4,6,Masters Bangkok 2025
ZellsisSEN,,103,0.77,159.8,0.63,70%,109.3,0.50,0.39,0.05,0.09,19%,,0/20,17,51,81,40,5,9,Masters Bangkok 2025
SayfVIT,(+1),225,0.75,155.9,0.74,69%,100.1,0.53,0.25,0.07,0.09,22%,9%,2/22,18,119,160,56,15,20,Masters Bangkok 2025
LuoK1ngTE,,74,0.74,155.8,0.67,66%,105.2,0.54,0.31,0.05,0.07,34%,,0/16,13,40,60,23,4,5,Masters Bangkok 2025
paTiTekTL,(+2),155,0.73,144.0,0.65,70%,97.8,0.47,0.43,0.06,0.08,25%,7%,1/15,18,73,112,67,10,13,Masters Bangkok 2025
heybayTE,,74,0.69,134.3,0.54,59%,89.7,0.42,0.30,0.07,0.09,26%,,0/8,12,31,57,22,5,7,Masters Bangkok 2025
carpeT1,,45,0.63,140.5,0.57,67%,92.1,0.44,0.38,0.09,0.13,27%,25%,1/4,14,20,35,17,4,6,Masters Bangkok 2025
FengFTE,,74,0.55,151.0,0.56,57%,104.6,0.47,0.16,0.11,0.20,21%,13%,1/8,14,35,63,12,8,15,Masters Bangkok 2025
t3xtureGEN,,255,1.23,258.2,1.44,74%,159.5,0.94,0.19,0.21,0.17,28%,37%,7/19,27,239,166,48,54,43,Masters Toronto 2025
SpringWOL,,349,1.21,244.1,1.23,74%,160.1,0.85,0.32,0.13,0.09,29%,7%,2/29,26,295,240,111,47,31,Masters Toronto 2025
VernoMIBR,,71,1.18,230.5,1.02,70%,157.6,0.79,0.30,0.04,0.04,28%,14%,3/22,19,56,55,21,3,3,Masters Toronto 2025
AlfajerFNC,(+3),419,1.17,257.9,1.30,73%,167.6,0.94,0.14,0.17,0.11,32%,12%,4/33,29,392,301,60,73,45,Masters Toronto 2025
zekkenSEN,(+2),249,1.17,237.5,1.21,74%,147.2,0.81,0.26,0.19,0.21,24%,17%,3/18,27,202,167,65,47,53,Masters Toronto 2025
trentG2,,198,1.17,214.2,1.22,81%,138.0,0.77,0.25,0.10,0.07,35%,13%,4/30,22,152,125,49,19,13,Masters Toronto 2025
leafG2,,198,1.15,230.3,1.21,75%,148.6,0.81,0.26,0.08,0.08,24%,29%,10/35,24,161,133,51,15,16,Masters Toronto 2025
ChronicleFNC,(+2),419,1.13,207.6,1.18,72%,141.1,0.72,0.30,0.08,0.06,26%,14%,7/51,27,302,257,127,35,25,Masters Toronto 2025
whzyBLG,,179,1.13,253.1,1.21,68%,155.5,0.89,0.16,0.19,0.17,28%,13%,2/16,29,160,132,29,34,31,Masters Toronto 2025
f0rsakeNPRX,(+1),387,1.12,208.9,1.06,74%,137.5,0.72,0.40,0.10,0.08,26%,31%,9/29,25,280,263,156,37,31,Masters Toronto 2025
JingggPRX,,387,1.10,229.1,1.15,73%,151.9,0.78,0.26,0.14,0.13,23%,8%,2/25,26,303,264,100,54,50,Masters Toronto 2025
keikoTL,(+1),187,1.10,199.3,1.17,72%,132.9,0.76,0.17,0.09,0.07,45%,13%,4/31,29,142,121,32,16,13,Masters Toronto 2025
N4RRATESEN,(+1),249,1.08,219.5,1.06,75%,140.1,0.74,0.34,0.06,0.09,24%,25%,5/20,21,185,174,85,16,23,Masters Toronto 2025
d4v41PRX,(+1),387,1.07,189.4,1.12,73%,131.7,0.72,0.23,0.05,0.07,26%,10%,6/61,29,277,247,88,21,26,Masters Toronto 2025
happyweiXLG,,75,1.06,223.0,0.97,61%,147.0,0.76,0.17,0.16,0.15,45%,12%,2/17,20,57,59,13,12,11,Masters Toronto 2025
kaajakFNC,(+1),419,1.06,218.3,1.13,71%,141.5,0.78,0.16,0.19,0.16,35%,18%,7/39,32,327,290,66,79,65,Masters Toronto 2025
rushiaBLG,,179,1.03,201.9,0.99,72%,130.6,0.70,0.38,0.12,0.08,27%,10%,2/21,23,126,127,68,22,15,Masters Toronto 2025
KaronGEN,,255,1.03,189.3,1.09,76%,125.6,0.69,0.32,0.09,0.09,31%,11%,4/35,24,176,161,81,22,23,Masters Toronto 2025
crashiesFNC,,419,1.03,181.8,1.07,74%,126.4,0.65,0.29,0.05,0.03,34%,10%,5/51,26,273,254,120,20,11,Masters Toronto 2025
AshGEN,,255,1.02,173.9,1.05,74%,118.3,0.62,0.22,0.05,0.03,31%,15%,5/33,19,158,150,57,14,7,Masters Toronto 2025
PatMenPRX,,387,1.01,193.0,1.02,73%,124.2,0.68,0.32,0.06,0.08,31%,24%,10/41,22,263,257,123,24,32,Masters Toronto 2025
pennyTL,(+1),121,1.00,188.4,0.98,73%,131.3,0.67,0.29,0.12,0.10,20%,22%,2/9,30,81,83,35,15,12,Masters Toronto 2025
MunchkinGEN,,255,0.99,207.8,1.02,72%,134.1,0.68,0.35,0.10,0.10,22%,5%,1/19,21,174,170,90,25,26,Masters Toronto 2025
bangSEN,,249,0.99,188.1,0.99,72%,112.5,0.69,0.33,0.08,0.08,34%,14%,3/21,19,171,172,83,21,19,Masters Toronto 2025
johnqtSEN,(+1),249,0.99,166.3,0.94,77%,109.7,0.59,0.38,0.05,0.07,26%,8%,3/36,18,147,156,95,13,17,Masters Toronto 2025
ZellsisSEN,(+1),249,0.99,173.6,0.95,70%,118.2,0.61,0.28,0.07,0.09,21%,12%,4/33,20,152,160,69,17,23,Masters Toronto 2025
jawgemoG2,,198,0.98,217.1,1.00,72%,143.7,0.73,0.25,0.16,0.19,23%,,0/11,19,144,144,50,32,38,Masters Toronto 2025
MonyetRRQ,,100,0.97,196.4,0.89,67%,130.3,0.66,0.31,0.05,0.13,26%,,0/9,17,66,74,31,5,13,Masters Toronto 2025
somethingPRX,(+1),387,0.96,192.2,1.00,73%,123.9,0.68,0.20,0.14,0.15,25%,8%,3/39,22,265,265,78,54,58,Masters Toronto 2025
kamoTL,(+2),187,0.96,210.8,0.99,70%,141.9,0.75,0.20,0.16,0.17,35%,20%,1/5,26,140,141,38,30,32,Masters Toronto 2025
JuicyWOL,,349,0.95,212.0,1.00,67%,139.5,0.74,0.19,0.19,0.17,25%,31%,5/16,23,260,260,65,65,61,Masters Toronto 2025
Wo0tTH,(+1),81,0.94,183.0,0.86,68%,118.9,0.63,0.36,0.10,0.15,34%,10%,1/10,17,51,59,29,8,12,Masters Toronto 2025
nephhBLG,(+1),179,0.93,178.6,0.87,72%,117.9,0.59,0.46,0.07,0.08,22%,17%,3/18,21,106,122,82,12,14,Masters Toronto 2025
valynG2,,198,0.93,172.1,0.86,75%,109.6,0.61,0.37,0.07,0.08,22%,6%,1/18,20,121,140,73,14,16,Masters Toronto 2025
JonahPG2,,198,0.93,178.8,0.90,76%,113.2,0.61,0.39,0.04,0.14,24%,8%,1/13,20,120,133,77,8,27,Masters Toronto 2025
LysoarWOL,(+2),349,0.91,174.5,0.88,72%,112.1,0.60,0.33,0.08,0.06,25%,13%,5/38,19,211,241,115,28,22,Masters Toronto 2025
SiuFatBBWOL,,349,0.91,151.1,0.88,70%,99.9,0.54,0.25,0.03,0.05,28%,23%,15/65,17,190,217,88,12,16,Masters Toronto 2025
paTiTekTL,,187,0.91,183.1,0.88,72%,117.7,0.61,0.21,0.09,0.07,27%,8%,2/24,23,114,130,39,17,14,Masters Toronto 2025
LeviusBLG,(+1),179,0.90,158.1,0.94,70%,111.4,0.59,0.16,0.03,0.11,23%,,0/26,19,105,112,28,5,19,Masters Toronto 2025
xfferoRRQ,,100,0.90,175.2,0.89,65%,118.8,0.64,0.17,0.07,0.07,32%,8%,1/13,15,64,72,17,7,7,Masters Toronto 2025
YuicawWOL,(+2),349,0.89,175.0,0.89,63%,117.3,0.62,0.19,0.09,0.10,27%,9%,4/47,24,218,244,68,33,34,Masters Toronto 2025
Foxy9GEN,,255,0.88,179.2,0.98,71%,111.6,0.65,0.18,0.08,0.08,32%,28%,7/25,21,167,170,46,20,21,Masters Toronto 2025
KushyRRQ,,100,0.88,174.0,0.86,70%,114.0,0.62,0.22,0.01,0.05,39%,17%,2/12,23,62,72,22,1,5,Masters Toronto 2025
nAtsTL,,111,0.88,186.0,0.88,74%,121.2,0.64,0.20,0.08,0.05,28%,12%,2/17,18,71,81,22,9,6,Masters Toronto 2025
RargaXLG,,75,0.86,217.0,0.88,64%,136.1,0.76,0.16,0.20,0.25,41%,33%,2/6,20,57,65,12,15,19,Masters Toronto 2025
RieNsTH,,81,0.85,191.5,0.84,63%,125.0,0.63,0.25,0.09,0.12,28%,,0/7,17,51,61,20,7,10,Masters Toronto 2025
benjyfishyTH,,81,0.85,178.8,0.85,62%,119.9,0.63,0.11,0.12,0.06,30%,17%,2/12,18,51,60,9,10,5,Masters Toronto 2025
JemkinRRQ,,100,0.85,196.8,0.88,66%,138.2,0.69,0.14,0.21,0.16,33%,,0/5,19,69,78,14,21,16,Masters Toronto 2025
BoasterFNC,,419,0.84,143.4,0.76,72%,94.4,0.47,0.36,0.08,0.08,25%,9%,3/35,21,199,261,149,33,33,Masters Toronto 2025
KnightBLG,,179,0.83,149.1,0.81,69%,105.0,0.51,0.23,0.06,0.09,26%,7%,1/15,18,92,113,42,11,16,Masters Toronto 2025
SerialTL,(+1),142,0.83,155.2,0.84,66%,103.1,0.57,0.16,0.09,0.07,45%,32%,6/19,20,81,97,23,13,10,Masters Toronto 2025
BooTH,,81,0.76,139.5,0.70,62%,86.7,0.48,0.43,0.02,0.10,38%,6%,1/17,14,39,56,35,2,8,Masters Toronto 2025
crazyguyRRQ,,100,0.75,144.2,0.65,64%,90.7,0.47,0.34,0.11,0.14,25%,9%,2/22,11,47,72,34,11,14,Masters Toronto 2025
MiniBooTH,,81,0.74,167.5,0.81,60%,105.6,0.64,0.09,0.12,0.11,31%,,0/8,19,52,64,7,10,9,Masters Toronto 2025
xenomMIBR,,71,0.71,148.3,0.65,63%,101.7,0.55,0.15,0.06,0.14,35%,,0/12,15,39,60,11,4,10,Masters Toronto 2025
corteziaMIBR,,71,0.69,164.0,0.66,59%,115.2,0.55,0.17,0.10,0.14,33%,,0/10,12,39,59,12,7,10,Masters Toronto 2025
VivaXLG,,75,0.67,147.0,0.51,59%,107.6,0.44,0.28,0.05,0.03,27%,,0/16,11,33,65,21,4,2,Masters Toronto 2025
coconutXLG,,75,0.65,128.3,0.57,65%,82.6,0.45,0.29,0.01,0.08,26%,23%,3/13,12,34,60,22,1,6,Masters Toronto 2025
MidiXLG,,75,0.59,132.0,0.58,61%,88.8,0.48,0.19,0.04,0.03,34%,,0/5,14,36,62,14,3,2,Masters Toronto 2025
aspasMIBR,,71,0.53,129.8,0.53,59%,88.8,0.44,0.17,0.07,0.21,18%,20%,1/5,10,31,59,12,5,15,Masters Toronto 2025
artzinMIBR,,71,0.51,121.5,0.52,66%,86.3,0.44,0.25,0.04,0.15,26%,,0/5,12,31,60,18,3,11,Masters Toronto 2025
tariktarik,,20,,,0.94,,,0.85,0.30,,,,,,17,17,18,6,0,0,Masters Toronto 2025
Kyedaetarik,,20,,,1.00,,,0.75,0.40,,,,,,15,15,15,8,0,0,Masters Toronto 2025
joshsekitarik,,20,,,0.63,,,0.50,0.35,,,,,,10,10,16,7,0,0,Masters Toronto 2025
Vinnietarik,,20,,,0.87,,,0.65,0.20,,,,,,13,13,15,4,0,0,Masters Toronto 2025
