Player,Team,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD,Event,Region
CHICHOO,EDG,"Viper, Vyse, Omen",313,1.23,235.6,1.27,71.0,158.1,0.87,0.28,0.08,0.07,28.0,22%,11/51,36,271,213,87,24,22,Masters Bangkok 2025,CN
nAts,TL,"Viper, Chamber, Cypher",155,1.21,257.6,1.32,72.0,155.1,0.91,0.19,0.09,0.12,26.0,13%,3/23,25,141,107,29,14,18,Masters Bangkok 2025,EMEA
trent,G2,"Tejo, Sova",360,1.21,220.0,1.21,75.0,146.9,0.76,0.32,0.09,0.09,25.0,29%,14/48,26,274,226,116,31,31,Masters Bangkok 2025,Americas
Derke,VIT,"Raze, Yoru, Jett",225,1.18,257.2,1.2,70.0,166.8,0.91,0.17,0.2,0.2,22.0,31%,5/16,32,204,170,38,46,45,Masters Bangkok 2025,EMEA
iZu,T1,"Yoru, Fade, Cypher",453,1.13,207.1,1.24,75.0,130.6,0.75,0.21,0.11,0.09,30.0,31%,19/61,21,341,276,96,48,40,Masters Bangkok 2025,Pacific
free1ng,DRX,Tejo,149,1.1,227.3,1.16,77.0,146.9,0.79,0.26,0.12,0.11,29.0,7%,1/15,24,117,101,38,18,16,Masters Bangkok 2025,Pacific
keiko,TL,"Raze, Astra, Omen",155,1.09,198.9,1.09,77.0,137.7,0.75,0.34,0.1,0.08,30.0,10%,2/20,31,117,107,52,15,12,Masters Bangkok 2025,EMEA
trexx,VIT,"Brimstone, Fade, Sova",225,1.09,207.3,1.02,72.0,134.3,0.68,0.44,0.05,0.05,19.0,9%,3/32,28,153,150,98,12,11,Masters Bangkok 2025,EMEA
BeYN,DRX,"Breach, Sova, Fade",149,1.08,182.4,1.03,78.0,117.3,0.64,0.44,0.06,0.07,25.0,21%,4/19,17,95,92,65,9,10,Masters Bangkok 2025,Pacific
BuZz,T1,"Raze, Neon, Yoru",453,1.08,239.5,1.12,72.0,150.4,0.82,0.24,0.17,0.14,17.0,20%,6/30,26,370,331,107,78,62,Masters Bangkok 2025,Pacific
valyn,G2,"Brimstone, Omen, Astra",360,1.08,186.8,1.06,76.0,122.1,0.68,0.44,0.08,0.08,23.0,14%,5/37,26,244,231,158,29,27,Masters Bangkok 2025,Americas
leaf,G2,"Vyse, Viper, Chamber",360,1.06,207.3,1.09,74.0,137.5,0.74,0.25,0.11,0.1,24.0,12%,5/41,28,267,244,91,38,36,Masters Bangkok 2025,Americas
N4RRATE,SEN,"Fade, Breach, Omen",103,1.05,202.4,0.97,76.0,148.4,0.73,0.39,0.13,0.04,27.0,13%,2/15,33,75,77,40,13,4,Masters Bangkok 2025,Americas
